Maiysha,USA,Female,Person,,,"['Unknown']"
Indigo Girls,USA,,Group,1985,,"['Rock','Folk']"
Absynthe Minded,Belgium,,Group,1999,,"['Unknown']"
Asa,Finland,Male,Person,,,"['Rap','Folk']"
Jimmy Reed,USA,Male,Person,1925-09-06,1976-08-29,"['Rock','Indie']"
Saiko,Chile,,Group,,,"['Unknown']"
Ashra,Germany,,Group,1970,,"['Ambient']"
Cristina Branco,Portugal,Female,Person,1972,,"['Unknown']"
Åge Aleksandersen,Norway,Male,Person,1949-03-21,,"['Unknown']"
Hayden,Canada,Male,Person,1971-02-12,,"['Unknown']"
The Lucksmiths,Australia,,Group,1993,2009,"['Unknown']"
Gwen Guthrie,USA,Female,Person,1950-07-14,1999-02-03,"['Rock','Indie']"
Cancer Bats,Canada,,Group,2004-05,,"['Rock','Indie']"
Whitey,United Kingdom,Male,Person,,,"['Rock','Indie']"
Martin Luther McCoy,USA,Male,Person,1970-07,,"['Unknown']"
David Dondero,USA,Male,Person,1969-06-24,,"['Unknown']"
Wolfbrigade,Sweden,,Group,1995,,"['Punk','Beat']"
The Sonic Boom Foundation,Unknown,,Group,,,"['Unknown']"
The Real McKenzies,Canada,,Group,1992,,"['Punk']"
Black Star,USA,,Group,1997,,"['Hip hop']"
Tord Gustavsen Trio,Norway,,Group,,,"['Blues','Jazz']"
Lonely Drifter Karen,Unknown,,Group,,,"['Unknown']"
Fleeting Joys,Unknown,,,,,"['Unknown']"
Contriva,Unknown,,Group,,,"['Unknown']"
Eartha Kitt,USA,Female,Person,1927-01-17,2008-12-25,"['Jazz']"
The Music Explosion,USA,,Group,,,"['Unknown']"
Blind Mr. Jones,United Kingdom,,Group,,1994,"['Unknown']"
Papoose,USA,Male,Person,1978-12-31,,"['Unknown']"
Old Man’s Child,Norway,,Group,1989,,"['Unknown']"
The Lonely Island,USA,,Group,2001,,"['Comedy']"
Locker Rocket,Unknown,,Group,2000-01,,"['Unknown']"
Queen,United Kingdom,,Group,1970-06-27,,"['Rock','Pop','Classic','Glam']"
Kid Alex,Germany,,Person,,,"['Unknown']"
Armageddon Clock,Unknown,,Group,1996,,"['Unknown']"
Hefner,United Kingdom,,Group,1997,2002,"['Unknown']"
Bardot,Australia,,Group,2000,,"['Unknown']"
The Black Crowes,USA,,Group,1989,,"['Rock','Indie','Blues','Jam']"
Stiff Little Fingers,United Kingdom,,Group,1977,,"['Rock','Indie','Punk']"
Lucky Soul,United Kingdom,,Group,2004,,"['Unknown']"
Elliott Smith,USA,Male,Person,1969-08-06,2003-10-21,"['Rock','Indie','Acoustic','Pop','Folk']"
Liars,USA,,Group,2000,,"['Experimental','Rock','Alternative','Punk','Dance','Indie']"
Career Suicide,Canada,,Group,2001,,"['Unknown']"
Amaran,Sweden,,Group,2000,2005-12-28,"['Unknown']"
Cecilia Bartoli,Italy,Female,Person,1966-06-04,,"['Soprano','Classic']"
Anita Baker,USA,Female,Person,1958-01-26,,"['Reggae','Jazz','Soul','Rnb','Contemporary']"
Hank Mobley,USA,Male,Person,1930-07-07,1986-05-30,"['Jazz']"
Magazine,United Kingdom,,Group,1977,,"['Rock','Pop','Classic','Punk']"
Spindrift,Sweden,,Person,,,"['Unknown']"
Tokyo Electron,USA,,Group,,,"['Unknown']"
Greg Graffin,USA,Male,Person,1964-11-06,,"['Unknown']"
Whitney Houston,USA,Female,Person,1963-08-09,2012-02-11,"['Pop','Soul','Reggae']"
The Bluetones,United Kingdom,,Group,1993,2011,"['Classic','Rock','Alternative','Indie','Pop']"
